,firstname,lastname,pts,asts,oreb,dreb,stl,blk,turnover
434,Mike,Bibby,1506,444,67,210,112,18,175.0
429,Chauncey,Billups,1318,446,35,241,84,8,189.0
416,Ray,Allen,1287,268,69,217,71,11,156.0
387,LeBron,James,1654,465,99,333,130,58,273.0
376,Sam,Cassell,1603,592,44,227,102,18,220.0
366,Elton,Brand,1379,227,269,445,64,154,193.0
365,Kobe,Bryant,1557,330,103,256,112,28,171.0
364,Jamal,Crawford,1383,405,46,237,111,29,193.0
361,Allen,Iverson,1266,324,34,144,115,5,209.0
356,Tracy,McGrady,1878,370,95,307,93,42,179.0
