,firstname,lastname,pts,asts,oreb,dreb,stl,blk,turnover
422,Stephon,Marbury,1598,506,53,152,79,5,197.0
416,Kevin,Garnett,1784,401,219,702,111,145,230.0
393,Raef,Lafrentz,1008,107,173,434,37,206,97.0
370,Vince,Carter,2070,291,176,240,114,82,167.0
364,Dirk,Nowitzki,1784,173,119,635,79,101,156.0
362,Baron,Davis,1131,598,129,279,170,36,226.0
349,Shawn,Marion,1369,160,220,628,132,108,129.0
322,Jason,Terry,1619,403,42,227,104,12,239.0
320,Jermaine,O'neal,1041,98,249,545,49,228,161.0
317,Antoine,Walker,1892,445,151,568,138,49,301.0
