Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Dec 10 2004,8:00p,Atlanta Hawks,88,Detroit Pistons,72,Box Score,,22076,
Fri Dec 10 2004,8:00p,Sacramento Kings,105,Minnesota Timberwolves,113,Box Score,,19101,
Fri Dec 10 2004,8:30p,Indiana Pacers,86,Milwaukee Bucks,95,Box Score,,15906,
Fri Dec 10 2004,9:00p,Charlotte Bobcats,106,Phoenix Suns,115,Box Score,,17105,
Fri Dec 10 2004,10:30p,Orlando Magic,113,Golden State Warriors,109,Box Score,,15874,
Fri Dec 10 2004,10:30p,POR,87,Utah Jazz,92,Box Score,OT,19531,
Sat Dec 11 2004,7:00p,New Jersey Nets,95,Atlanta Hawks,90,Box Score,,8735,
Sat Dec 11 2004,8:00p,Sacramento Kings,97,Indiana Pacers,92,Box Score,OT,17091,
Sat Dec 11 2004,8:00p,Detroit Pistons,68,Memphis Grizzlies,72,Box Score,,18119,
Sat Dec 11 2004,8:30p,Minnesota Timberwolves,88,Chicago Bulls,99,Box Score,,20782,
Sat Dec 11 2004,8:30p,Dallas Mavericks,102,Houston Rockets,78,Box Score,,18189,
Sat Dec 11 2004,8:30p,Cleveland Cavaliers,97,San Antonio Spurs,116,Box Score,,18797,
Sat Dec 11 2004,10:00p,Boston Celtics,98,SEA,84,Box Score,,17072,
Sat Dec 11 2004,10:30p,Los Angeles Lakers,89,Los Angeles Clippers,87,Box Score,,19697,
Sun Dec 12 2004,12:00p,DEN,96,New York Knicks,107,Box Score,,19763,
Sun Dec 12 2004,1:00p,Miami Heat,106,Toronto Raptors,98,Box Score,,19202,
Sun Dec 12 2004,1:00p,New Orleans Hornets,69,Washington Wizards,88,Box Score,,13969,
Sun Dec 12 2004,2:00p,Milwaukee Bucks,101,Philadelphia 76ers,107,Box Score,,15764,
Sun Dec 12 2004,8:00p,Utah Jazz,88,POR,98,Box Score,,15802,
Sun Dec 12 2004,9:00p,Charlotte Bobcats,87,Golden State Warriors,99,Box Score,,14023,
Sun Dec 12 2004,9:30p,Orlando Magic,98,Los Angeles Lakers,105,Box Score,,18997,
Mon Dec 13 2004,7:30p,Washington Wizards,83,Miami Heat,106,Box Score,,19600,
Mon Dec 13 2004,8:00p,Cleveland Cavaliers,92,Memphis Grizzlies,86,Box Score,,15516,
Mon Dec 13 2004,8:30p,Dallas Mavericks,94,Chicago Bulls,93,Box Score,,16191,
Mon Dec 13 2004,9:00p,Orlando Magic,100,Phoenix Suns,121,Box Score,,14228,
Mon Dec 13 2004,10:30p,Boston Celtics,134,Los Angeles Clippers,127,Box Score,2OT,16007,
Tue Dec 14 2004,7:00p,New Orleans Hornets,93,Charlotte Bobcats,94,Box Score,OT,13589,
Tue Dec 14 2004,7:00p,DEN,102,Philadelphia 76ers,110,Box Score,,15392,
Tue Dec 14 2004,7:30p,Indiana Pacers,108,Atlanta Hawks,97,Box Score,OT,7975,
Tue Dec 14 2004,7:30p,New York Knicks,87,New Jersey Nets,79,Box Score,,16794,
Tue Dec 14 2004,8:00p,Sacramento Kings,89,Milwaukee Bucks,86,Box Score,,13687,
Tue Dec 14 2004,8:00p,POR,89,Minnesota Timberwolves,100,Box Score,,15103,
Tue Dec 14 2004,8:30p,Golden State Warriors,111,Dallas Mavericks,107,Box Score,,19561,
Tue Dec 14 2004,9:00p,Los Angeles Clippers,91,Utah Jazz,93,Box Score,,19101,
Tue Dec 14 2004,10:00p,Los Angeles Lakers,93,SEA,108,Box Score,,17072,
Wed Dec 15 2004,7:00p,DEN,100,Boston Celtics,99,Box Score,,15371,
Wed Dec 15 2004,7:00p,POR,88,Cleveland Cavaliers,112,Box Score,,17897,
Wed Dec 15 2004,7:00p,Minnesota Timberwolves,90,Toronto Raptors,96,Box Score,,16888,
Wed Dec 15 2004,7:00p,Miami Heat,98,Washington Wizards,93,Box Score,,18234,
Wed Dec 15 2004,8:00p,Chicago Bulls,96,Memphis Grizzlies,88,Box Score,,14163,
Wed Dec 15 2004,8:00p,Golden State Warriors,89,New Orleans Hornets,98,Box Score,,13641,
Wed Dec 15 2004,8:00p,Detroit Pistons,94,New York Knicks,93,Box Score,,19763,
Wed Dec 15 2004,8:30p,Atlanta Hawks,69,Houston Rockets,92,Box Score,,9960,
Wed Dec 15 2004,8:30p,Orlando Magic,91,San Antonio Spurs,94,Box Score,,17384,
Wed Dec 15 2004,10:30p,Utah Jazz,86,Phoenix Suns,108,Box Score,,14908,
Thu Dec 16 2004,8:00p,Cleveland Cavaliers,69,Detroit Pistons,81,Box Score,,22076,
Thu Dec 16 2004,8:30p,Milwaukee Bucks,77,Chicago Bulls,85,Box Score,,14403,
Thu Dec 16 2004,10:30p,Los Angeles Lakers,115,Sacramento Kings,99,Box Score,,17317,
Fri Dec 17 2004,7:00p,Toronto Raptors,86,Indiana Pacers,89,Box Score,,15357,
Fri Dec 17 2004,7:00p,New York Knicks,113,Philadelphia 76ers,107,Box Score,OT,19286,
Fri Dec 17 2004,7:30p,POR,100,Atlanta Hawks,84,Box Score,,9227,
Fri Dec 17 2004,7:30p,Utah Jazz,106,Boston Celtics,114,Box Score,,15504,
Fri Dec 17 2004,8:00p,New Jersey Nets,84,Memphis Grizzlies,89,Box Score,,18119,
Fri Dec 17 2004,8:00p,DEN,100,Miami Heat,107,Box Score,,19984,
Fri Dec 17 2004,8:00p,Los Angeles Clippers,86,Minnesota Timberwolves,113,Box Score,,18371,
Fri Dec 17 2004,8:00p,San Antonio Spurs,83,New Orleans Hornets,67,Box Score,,13071,
Fri Dec 17 2004,8:30p,Golden State Warriors,83,Houston Rockets,100,Box Score,,14452,
Fri Dec 17 2004,10:30p,Washington Wizards,120,Los Angeles Lakers,116,Box Score,OT,18212,
Fri Dec 17 2004,10:30p,Phoenix Suns,112,SEA,110,Box Score,,17072,
Sat Dec 18 2004,7:00p,Houston Rockets,100,Charlotte Bobcats,101,Box Score,OT,17320,
Sat Dec 18 2004,7:00p,DEN,95,Orlando Magic,117,Box Score,,15531,
Sat Dec 18 2004,7:30p,Boston Celtics,114,Cleveland Cavaliers,107,Box Score,OT,18904,
Sat Dec 18 2004,7:30p,POR,75,Detroit Pistons,74,Box Score,,22076,
Sat Dec 18 2004,8:30p,Indiana Pacers,71,Chicago Bulls,85,Box Score,,19474,
Sat Dec 18 2004,8:30p,Atlanta Hawks,68,Dallas Mavericks,90,Box Score,,20068,
Sat Dec 18 2004,8:30p,Philadelphia 76ers,116,Milwaukee Bucks,97,Box Score,,16839,
Sat Dec 18 2004,8:30p,Golden State Warriors,85,San Antonio Spurs,104,Box Score,,17467,
Sat Dec 18 2004,9:00p,Washington Wizards,96,Phoenix Suns,110,Box Score,,16948,
Sun Dec 19 2004,3:00p,Utah Jazz,93,New York Knicks,94,Box Score,,19763,
Sun Dec 19 2004,3:00p,New Jersey Nets,99,Toronto Raptors,110,Box Score,,16938,
Sun Dec 19 2004,6:00p,Orlando Magic,107,Miami Heat,117,Box Score,,20128,
Sun Dec 19 2004,9:00p,New Orleans Hornets,71,Sacramento Kings,107,Box Score,,17317,
Sun Dec 19 2004,9:30p,Memphis Grizzlies,92,Los Angeles Clippers,82,Box Score,,16297,
Mon Dec 20 2004,7:00p,Utah Jazz,103,Philadelphia 76ers,101,Box Score,,15642,
Mon Dec 20 2004,8:30p,POR,87,Chicago Bulls,92,Box Score,,19023,
Mon Dec 20 2004,8:30p,Toronto Raptors,102,Houston Rockets,114,Box Score,,14241,
Mon Dec 20 2004,9:00p,Phoenix Suns,107,DEN,105,Box Score,,19609,
Mon Dec 20 2004,10:30p,Washington Wizards,103,Golden State Warriors,101,Box Score,,15161,
Mon Dec 20 2004,10:30p,Memphis Grizzlies,82,Los Angeles Lakers,72,Box Score,,18997,
Tue Dec 21 2004,7:00p,New Jersey Nets,94,Charlotte Bobcats,91,Box Score,,11358,
Tue Dec 21 2004,7:00p,Minnesota Timberwolves,97,Cleveland Cavaliers,107,Box Score,,19094,
Tue Dec 21 2004,7:30p,Boston Celtics,100,Miami Heat,108,Box Score,,20146,
Tue Dec 21 2004,7:30p,Dallas Mavericks,123,New York Knicks,94,Box Score,,19763,
Tue Dec 21 2004,10:00p,Washington Wizards,93,Sacramento Kings,104,Box Score,,17317,
Tue Dec 21 2004,10:30p,New Orleans Hornets,91,Los Angeles Clippers,100,Box Score,OT,13034,
Wed Dec 22 2004,7:00p,New York Knicks,109,Boston Celtics,114,Box Score,,15655,
Wed Dec 22 2004,7:00p,Philadelphia 76ers,102,Indiana Pacers,90,Box Score,,15412,
Wed Dec 22 2004,7:00p,San Antonio Spurs,87,Orlando Magic,93,Box Score,,16325,
Wed Dec 22 2004,7:00p,Utah Jazz,86,Toronto Raptors,98,Box Score,,17479,
Wed Dec 22 2004,7:30p,Dallas Mavericks,100,Atlanta Hawks,113,Box Score,,12765,
Wed Dec 22 2004,7:30p,Chicago Bulls,89,Detroit Pistons,82,Box Score,,22076,
Wed Dec 22 2004,7:30p,Cleveland Cavaliers,90,New Jersey Nets,92,Box Score,,16327,
Wed Dec 22 2004,8:00p,POR,104,Milwaukee Bucks,95,Box Score,,13789,
Wed Dec 22 2004,8:30p,Charlotte Bobcats,90,Houston Rockets,87,Box Score,,13655,
Wed Dec 22 2004,10:00p,Memphis Grizzlies,99,Golden State Warriors,109,Box Score,,15389,
Wed Dec 22 2004,10:00p,DEN,83,SEA,98,Box Score,,17072,
Wed Dec 22 2004,10:30p,New Orleans Hornets,89,Los Angeles Lakers,101,Box Score,,18477,
Thu Dec 23 2004,8:00p,Minnesota Timberwolves,82,San Antonio Spurs,96,Box Score,,18797,
Thu Dec 23 2004,9:00p,Memphis Grizzlies,102,Phoenix Suns,109,Box Score,,17422,
Thu Dec 23 2004,10:30p,Miami Heat,109,Sacramento Kings,107,Box Score,,17317,
Sat Dec 25 2004,12:30p,Detroit Pistons,98,Indiana Pacers,93,Box Score,,18345,
Sat Dec 25 2004,3:00p,Miami Heat,104,Los Angeles Lakers,102,Box Score,OT,18997,
Sun Dec 26 2004,1:00p,Charlotte Bobcats,82,New York Knicks,91,Box Score,,19763,
Sun Dec 26 2004,7:00p,New Orleans Hornets,91,Cleveland Cavaliers,100,Box Score,,20562,
Sun Dec 26 2004,7:00p,Chicago Bulls,92,Milwaukee Bucks,99,Box Score,,15738,
Sun Dec 26 2004,7:00p,Boston Celtics,90,San Antonio Spurs,107,Box Score,,17541,
Sun Dec 26 2004,8:00p,Washington Wizards,74,Minnesota Timberwolves,109,Box Score,,16433,
Sun Dec 26 2004,8:00p,Toronto Raptors,94,Phoenix Suns,106,Box Score,,18422,
Sun Dec 26 2004,8:30p,Los Angeles Clippers,79,Houston Rockets,96,Box Score,,16548,
Sun Dec 26 2004,9:00p,Dallas Mavericks,102,DEN,88,Box Score,,19099,
Sun Dec 26 2004,9:00p,Golden State Warriors,98,Sacramento Kings,94,Box Score,,17317,
Mon Dec 27 2004,7:00p,New Orleans Hornets,82,Indiana Pacers,100,Box Score,,16930,
Mon Dec 27 2004,7:00p,New York Knicks,119,Orlando Magic,111,Box Score,,17283,
Mon Dec 27 2004,7:00p,Charlotte Bobcats,87,Washington Wizards,106,Box Score,,16322,
Mon Dec 27 2004,7:30p,New Jersey Nets,90,Detroit Pistons,100,Box Score,OT,22076,
Mon Dec 27 2004,7:30p,Atlanta Hawks,102,Miami Heat,116,Box Score,,20291,
Mon Dec 27 2004,8:00p,Los Angeles Clippers,76,Memphis Grizzlies,96,Box Score,,15273,
Mon Dec 27 2004,9:00p,SEA,98,Utah Jazz,88,Box Score,,19911,
Mon Dec 27 2004,10:00p,Philadelphia 76ers,111,POR,104,Box Score,,18024,
Mon Dec 27 2004,10:30p,DEN,101,Golden State Warriors,104,Box Score,,16819,
Tue Dec 28 2004,7:30p,Cleveland Cavaliers,111,Atlanta Hawks,102,Box Score,,19445,
Tue Dec 28 2004,8:00p,Houston Rockets,87,Milwaukee Bucks,115,Box Score,,17049,
Tue Dec 28 2004,8:30p,New Jersey Nets,84,Chicago Bulls,80,Box Score,,22903,
Tue Dec 28 2004,8:30p,Boston Celtics,94,Dallas Mavericks,113,Box Score,,20499,
Tue Dec 28 2004,8:30p,Phoenix Suns,94,San Antonio Spurs,115,Box Score,,18797,
Tue Dec 28 2004,10:00p,Philadelphia 76ers,114,SEA,107,Box Score,,17072,
Tue Dec 28 2004,10:30p,Toronto Raptors,99,Los Angeles Lakers,117,Box Score,,18997,
Wed Dec 29 2004,7:00p,Indiana Pacers,74,Charlotte Bobcats,71,Box Score,,13483,
Wed Dec 29 2004,7:00p,Houston Rockets,98,Cleveland Cavaliers,87,Box Score,,20562,
Wed Dec 29 2004,7:00p,Milwaukee Bucks,111,Orlando Magic,105,Box Score,,14438,
Wed Dec 29 2004,7:00p,Detroit Pistons,107,Washington Wizards,105,Box Score,,20173,
Wed Dec 29 2004,7:30p,Minnesota Timberwolves,87,New York Knicks,100,Box Score,,19763,
Wed Dec 29 2004,8:00p,Boston Celtics,109,Memphis Grizzlies,117,Box Score,,18119,
Wed Dec 29 2004,8:00p,Phoenix Suns,107,New Orleans Hornets,96,Box Score,,16905,
Wed Dec 29 2004,10:30p,Toronto Raptors,105,Golden State Warriors,111,Box Score,,15279,
Wed Dec 29 2004,10:30p,Utah Jazz,90,Los Angeles Clippers,101,Box Score,,17481,
Thu Dec 30 2004,2:00p,SEA,94,Atlanta Hawks,79,Box Score,,13336,
Thu Dec 30 2004,7:30p,Indiana Pacers,96,New Jersey Nets,83,Box Score,,20174,
Thu Dec 30 2004,8:00p,Miami Heat,89,Detroit Pistons,78,Box Score,,22076,
Thu Dec 30 2004,10:30p,San Antonio Spurs,114,POR,80,Box Score,,18677,
Fri Dec 31 2004,3:00p,Washington Wizards,103,Boston Celtics,108,Box Score,,15774,
Fri Dec 31 2004,7:00p,SEA,103,Charlotte Bobcats,97,Box Score,,13696,
Fri Dec 31 2004,8:00p,Philadelphia 76ers,92,DEN,97,Box Score,,19099,
Fri Dec 31 2004,8:00p,Sacramento Kings,109,Utah Jazz,102,Box Score,,19911,
Fri Dec 31 2004,9:30p,San Antonio Spurs,98,Los Angeles Clippers,79,Box Score,,17115,
Fri Dec 31 2004,10:00p,Milwaukee Bucks,90,Houston Rockets,105,Box Score,,16194,
Sat Jan 1 2005,7:30p,Charlotte Bobcats,90,Miami Heat,113,Box Score,,20281,
Sat Jan 1 2005,7:30p,New Jersey Nets,93,New York Knicks,87,Box Score,,19763,
Sat Jan 1 2005,8:00p,Memphis Grizzlies,104,Minnesota Timberwolves,95,Box Score,,16577,
Sat Jan 1 2005,8:30p,Orlando Magic,90,Chicago Bulls,105,Box Score,,20763,
Sat Jan 1 2005,10:00p,Golden State Warriors,88,POR,97,Box Score,,16002,
Sun Jan 2 2005,12:00p,Atlanta Hawks,101,Washington Wizards,104,Box Score,,14114,
Sun Jan 2 2005,3:30p,Philadelphia 76ers,83,Los Angeles Clippers,89,Box Score,,16113,
Sun Jan 2 2005,6:00p,Boston Celtics,88,Detroit Pistons,100,Box Score,,22076,
Sun Jan 2 2005,8:00p,POR,98,Phoenix Suns,117,Box Score,,18166,
Sun Jan 2 2005,8:30p,Milwaukee Bucks,104,Dallas Mavericks,123,Box Score,,20067,
Sun Jan 2 2005,8:30p,Utah Jazz,80,Houston Rockets,99,Box Score,,14574,
Sun Jan 2 2005,9:00p,San Antonio Spurs,81,Sacramento Kings,86,Box Score,,17317,
Sun Jan 2 2005,9:30p,DEN,91,Los Angeles Lakers,99,Box Score,,18997,
Mon Jan 3 2005,7:00p,New Orleans Hornets,90,Boston Celtics,108,Box Score,,13002,
Mon Jan 3 2005,7:00p,Cleveland Cavaliers,94,Charlotte Bobcats,83,Box Score,,12690,
Mon Jan 3 2005,7:00p,Orlando Magic,94,Toronto Raptors,105,Box Score,,15782,
Mon Jan 3 2005,7:30p,SEA,98,Miami Heat,96,Box Score,,20284,
Mon Jan 3 2005,8:00p,Utah Jazz,82,Memphis Grizzlies,92,Box Score,,14293,
Mon Jan 3 2005,8:30p,Detroit Pistons,87,Chicago Bulls,80,Box Score,,18523,
Mon Jan 3 2005,9:00p,Los Angeles Clippers,102,DEN,98,Box Score,,14817,
Mon Jan 3 2005,10:30p,Philadelphia 76ers,112,Golden State Warriors,104,Box Score,,16629,
Tue Jan 4 2005,7:00p,Milwaukee Bucks,99,Indiana Pacers,116,Box Score,,14738,
Tue Jan 4 2005,7:00p,New Jersey Nets,88,Washington Wizards,112,Box Score,,14011,
Tue Jan 4 2005,7:30p,Sacramento Kings,105,New York Knicks,98,Box Score,,19763,
Tue Jan 4 2005,8:00p,Phoenix Suns,122,Minnesota Timberwolves,115,Box Score,,18132,
Tue Jan 4 2005,8:30p,Los Angeles Lakers,83,San Antonio Spurs,100,Box Score,,18797,
Wed Jan 5 2005,7:00p,Golden State Warriors,83,Boston Celtics,84,Box Score,,13078,
Wed Jan 5 2005,7:00p,Minnesota Timberwolves,84,Charlotte Bobcats,102,Box Score,,12037,
Wed Jan 5 2005,7:00p,Atlanta Hawks,85,Cleveland Cavaliers,101,Box Score,,17881,
Wed Jan 5 2005,7:00p,SEA,87,Orlando Magic,105,Box Score,,13035,
Wed Jan 5 2005,7:00p,Sacramento Kings,93,Toronto Raptors,96,Box Score,,18288,
Wed Jan 5 2005,7:30p,New York Knicks,94,Miami Heat,102,Box Score,,20275,
Wed Jan 5 2005,8:00p,New Jersey Nets,74,Milwaukee Bucks,97,Box Score,,13081,
Wed Jan 5 2005,8:00p,Chicago Bulls,95,New Orleans Hornets,89,Box Score,,13369,
Wed Jan 5 2005,8:30p,Los Angeles Lakers,104,Dallas Mavericks,118,Box Score,,20393,
Wed Jan 5 2005,9:00p,Phoenix Suns,108,Houston Rockets,98,Box Score,,15258,
Wed Jan 5 2005,9:00p,Philadelphia 76ers,106,Utah Jazz,99,Box Score,,18409,
Wed Jan 5 2005,10:30p,POR,98,Los Angeles Clippers,102,Box Score,,15092,
Thu Jan 6 2005,7:00p,SEA,96,Washington Wizards,107,Box Score,,16230,
Thu Jan 6 2005,7:30p,Memphis Grizzlies,101,Detroit Pistons,79,Box Score,,22076,
Thu Jan 6 2005,9:30p,Indiana Pacers,98,San Antonio Spurs,111,Box Score,,17549,
Fri Jan 7 2005,7:00p,Charlotte Bobcats,91,Orlando Magic,111,Box Score,,12564,
Fri Jan 7 2005,7:00p,Milwaukee Bucks,107,Toronto Raptors,105,Box Score,OT,16537,
Fri Jan 7 2005,7:30p,Sacramento Kings,100,Atlanta Hawks,97,Box Score,,13626,
Fri Jan 7 2005,7:30p,Detroit Pistons,110,Boston Celtics,104,Box Score,,18624,
Fri Jan 7 2005,7:30p,Golden State Warriors,72,New Jersey Nets,82,Box Score,,13439,
Fri Jan 7 2005,8:00p,New Orleans Hornets,76,Memphis Grizzlies,84,Box Score,,15317,
Fri Jan 7 2005,8:00p,Philadelphia 76ers,84,Minnesota Timberwolves,89,Box Score,,19420,
Fri Jan 7 2005,8:30p,Utah Jazz,78,Chicago Bulls,84,Box Score,,16887,
Fri Jan 7 2005,10:00p,Miami Heat,103,POR,92,Box Score,,18666,
Fri Jan 7 2005,10:30p,Houston Rockets,104,Los Angeles Lakers,111,Box Score,,18997,
Sat Jan 8 2005,1:30p,New York Knicks,79,Cleveland Cavaliers,104,Box Score,,20562,
Sat Jan 8 2005,1:30p,DEN,90,San Antonio Spurs,99,Box Score,,18797,
Sat Jan 8 2005,7:00p,New Jersey Nets,101,Orlando Magic,104,Box Score,,16813,
Sat Jan 8 2005,7:00p,Minnesota Timberwolves,114,Washington Wizards,117,Box Score,,20173,
Sat Jan 8 2005,8:00p,Sacramento Kings,117,New Orleans Hornets,121,Box Score,OT,14635,
Sat Jan 8 2005,8:30p,Boston Celtics,91,Chicago Bulls,102,Box Score,,18932,
Sat Jan 8 2005,8:30p,Indiana Pacers,101,Dallas Mavericks,121,Box Score,,20385,
Sat Jan 8 2005,8:30p,Utah Jazz,86,Milwaukee Bucks,89,Box Score,,15609,
Sat Jan 8 2005,10:30p,Phoenix Suns,108,Los Angeles Clippers,91,Box Score,,17664,
Sun Jan 9 2005,1:00p,Golden State Warriors,87,Toronto Raptors,109,Box Score,,14372,
Sun Jan 9 2005,7:30p,POR,105,New York Knicks,113,Box Score,,19108,
Sun Jan 9 2005,8:00p,Indiana Pacers,89,Phoenix Suns,124,Box Score,,18422,
Sun Jan 9 2005,8:00p,Miami Heat,98,SEA,108,Box Score,,17072,
Sun Jan 9 2005,9:00p,Houston Rockets,116,DEN,98,Box Score,,18227,
Mon Jan 10 2005,7:00p,Orlando Magic,101,Boston Celtics,119,Box Score,,13731,
Mon Jan 10 2005,7:00p,POR,109,Philadelphia 76ers,100,Box Score,,16591,
Mon Jan 10 2005,8:00p,Los Angeles Lakers,105,Minnesota Timberwolves,96,Box Score,,18642,
Mon Jan 10 2005,8:30p,Golden State Warriors,85,Chicago Bulls,94,Box Score,,17032,
Mon Jan 10 2005,9:00p,San Antonio Spurs,96,Utah Jazz,97,Box Score,,18325,
Tue Jan 11 2005,7:00p,Charlotte Bobcats,98,Cleveland Cavaliers,100,Box Score,OT,18494,
Tue Jan 11 2005,7:30p,Milwaukee Bucks,80,Atlanta Hawks,103,Box Score,,11280,
Tue Jan 11 2005,7:30p,Detroit Pistons,89,New Jersey Nets,80,Box Score,,15755,
Tue Jan 11 2005,7:30p,New Orleans Hornets,88,New York Knicks,82,Box Score,,17619,
Tue Jan 11 2005,8:00p,Indiana Pacers,86,Memphis Grizzlies,85,Box Score,,16171,
Tue Jan 11 2005,9:00p,Miami Heat,107,Phoenix Suns,122,Box Score,,18422,
Tue Jan 11 2005,10:00p,DEN,100,Sacramento Kings,109,Box Score,,17317,
Tue Jan 11 2005,10:00p,Los Angeles Clippers,99,SEA,104,Box Score,,15001,
Wed Jan 12 2005,7:00p,Boston Celtics,93,Toronto Raptors,104,Box Score,,15108,
Wed Jan 12 2005,7:00p,POR,100,Washington Wizards,104,Box Score,,15836,
Wed Jan 12 2005,7:30p,New Orleans Hornets,76,Detroit Pistons,90,Box Score,,22076,
Wed Jan 12 2005,8:00p,Orlando Magic,87,Minnesota Timberwolves,80,Box Score,,15532,
Wed Jan 12 2005,8:30p,Philadelphia 76ers,78,Chicago Bulls,110,Box Score,,18095,
Wed Jan 12 2005,8:30p,Milwaukee Bucks,79,San Antonio Spurs,94,Box Score,,16754,
Wed Jan 12 2005,9:00p,Houston Rockets,124,Dallas Mavericks,114,Box Score,,20365,
Wed Jan 12 2005,9:00p,Los Angeles Lakers,83,DEN,95,Box Score,,18171,
Wed Jan 12 2005,9:00p,Phoenix Suns,108,Utah Jazz,115,Box Score,,19209,
Wed Jan 12 2005,10:30p,Miami Heat,98,Golden State Warriors,91,Box Score,,18596,
Wed Jan 12 2005,10:30p,SEA,92,Los Angeles Clippers,103,Box Score,,15802,
Thu Jan 13 2005,8:00p,New Jersey Nets,85,Houston Rockets,94,Box Score,OT,13243,
Thu Jan 13 2005,10:00p,Utah Jazz,93,Sacramento Kings,107,Box Score,,17317,
Thu Jan 13 2005,10:30p,Cleveland Cavaliers,94,Los Angeles Lakers,98,Box Score,,18997,
Fri Jan 14 2005,7:00p,Memphis Grizzlies,109,Charlotte Bobcats,89,Box Score,,17447,
Fri Jan 14 2005,7:00p,Phoenix Suns,83,Indiana Pacers,101,Box Score,,18345,
Fri Jan 14 2005,7:00p,Toronto Raptors,96,Philadelphia 76ers,106,Box Score,,18001,
Fri Jan 14 2005,7:30p,Atlanta Hawks,94,Boston Celtics,106,Box Score,,18624,
Fri Jan 14 2005,8:00p,Orlando Magic,94,Detroit Pistons,101,Box Score,,22076,
Fri Jan 14 2005,8:00p,POR,106,New Orleans Hornets,112,Box Score,,12417,
Fri Jan 14 2005,8:00p,Dallas Mavericks,95,San Antonio Spurs,98,Box Score,,17897,
Fri Jan 14 2005,8:30p,Washington Wizards,105,Milwaukee Bucks,103,Box Score,,15621,
Fri Jan 14 2005,10:30p,Minnesota Timberwolves,93,DEN,83,Box Score,,18906,
Fri Jan 14 2005,10:30p,Miami Heat,112,Los Angeles Clippers,114,Box Score,2OT,20043,
Fri Jan 14 2005,10:30p,Golden State Warriors,84,SEA,103,Box Score,,16519,
Sat Jan 15 2005,3:30p,New York Knicks,84,Chicago Bulls,86,Box Score,,22358,
Sat Jan 15 2005,6:00p,Charlotte Bobcats,95,Atlanta Hawks,103,Box Score,,11719,
Sat Jan 15 2005,7:00p,Phoenix Suns,103,Washington Wizards,108,Box Score,,20173,
Sat Jan 15 2005,7:30p,Philadelphia 76ers,95,Detroit Pistons,99,Box Score,,22076,
Sat Jan 15 2005,8:00p,Orlando Magic,85,Indiana Pacers,84,Box Score,,16992,
Sat Jan 15 2005,8:00p,Milwaukee Bucks,82,Memphis Grizzlies,101,Box Score,,17539,
Sat Jan 15 2005,8:00p,POR,84,Minnesota Timberwolves,92,Box Score,,17439,
Sat Jan 15 2005,8:30p,New Jersey Nets,93,Dallas Mavericks,98,Box Score,,20270,
Sat Jan 15 2005,8:30p,San Antonio Spurs,67,Houston Rockets,73,Box Score,,18290,
Sat Jan 15 2005,9:00p,Cleveland Cavaliers,84,Utah Jazz,71,Box Score,,19572,
Sat Jan 15 2005,10:00p,Los Angeles Clippers,95,Sacramento Kings,99,Box Score,,17317,
Sat Jan 15 2005,10:30p,Los Angeles Lakers,104,Golden State Warriors,102,Box Score,,19602,
Sun Jan 16 2005,1:00p,New Orleans Hornets,99,Toronto Raptors,102,Box Score,,14422,
Sun Jan 16 2005,9:00p,Cleveland Cavaliers,97,SEA,105,Box Score,,17072,
Mon Jan 17 2005,1:00p,Milwaukee Bucks,99,Charlotte Bobcats,92,Box Score,,10523,
Mon Jan 17 2005,1:00p,Chicago Bulls,88,New York Knicks,86,Box Score,,19040,
Mon Jan 17 2005,2:00p,New Jersey Nets,85,Atlanta Hawks,84,Box Score,,17049,
Mon Jan 17 2005,2:00p,New Orleans Hornets,91,Philadelphia 76ers,95,Box Score,,17428,
Mon Jan 17 2005,3:30p,Phoenix Suns,80,Detroit Pistons,94,Box Score,,22076,
Mon Jan 17 2005,3:30p,Sacramento Kings,89,Los Angeles Clippers,83,Box Score,,17139,
Mon Jan 17 2005,5:00p,Washington Wizards,73,San Antonio Spurs,101,Box Score,,17232,
Mon Jan 17 2005,6:00p,Toronto Raptors,100,Minnesota Timberwolves,91,Box Score,,16632,
Mon Jan 17 2005,8:00p,Houston Rockets,80,Memphis Grizzlies,99,Box Score,,18119,
Mon Jan 17 2005,10:30p,DEN,97,Golden State Warriors,107,Box Score,,15591,
Mon Jan 17 2005,10:30p,Utah Jazz,102,Los Angeles Lakers,94,Box Score,,18111,
Tue Jan 18 2005,7:00p,Detroit Pistons,101,Orlando Magic,103,Box Score,,14367,
Tue Jan 18 2005,8:30p,Washington Wizards,120,Dallas Mavericks,137,Box Score,,19653,
Tue Jan 18 2005,8:30p,Indiana Pacers,87,Houston Rockets,74,Box Score,,13925,
Tue Jan 18 2005,10:00p,POR,107,Sacramento Kings,113,Box Score,OT,17317,
Tue Jan 18 2005,10:00p,DEN,116,SEA,110,Box Score,OT,15555,
Wed Jan 19 2005,7:00p,Chicago Bulls,83,Boston Celtics,92,Box Score,,13109,
Wed Jan 19 2005,7:00p,Philadelphia 76ers,107,Charlotte Bobcats,105,Box Score,,12336,
Wed Jan 19 2005,7:00p,New York Knicks,81,Toronto Raptors,98,Box Score,,16613,
Wed Jan 19 2005,7:30p,Atlanta Hawks,92,Miami Heat,111,Box Score,,19600,
Wed Jan 19 2005,7:30p,Milwaukee Bucks,90,New Jersey Nets,96,Box Score,,10439,
Wed Jan 19 2005,8:00p,Indiana Pacers,87,New Orleans Hornets,90,Box Score,,12190,
